SymptomName,CanonicalSymptom
fever,fever
cough,cough
headache,headache
migraine,headache
nausea,nausea
abdominal pain,abdominal pain
chills,chills
vomiting,vomiting
diarrhea,diarrhea
fatigue,fatigue
shortness of breath,shortness of breath
sore throat,sore throat
runny nose,runny nose
sneezing,sneezing
rash,rash
dizziness,dizziness
dizzy,dizziness
weakness,weakness
loss of appetite,loss of appetite
muscle pain,muscle pain
joint pain,joint pain
chest pain,chest pain
back pain,back pain
constipation,constipation
throat pain,sore throat
cold,cough
flu,cough
breathlessness,shortness of breath
stomach pain,abdominal pain
stomach ache,abdominal pain
migraine,headache
pain,pain
ache,pain
sore,pain
burning,burning
itching,itching
swelling,swelling
infection,infection
inflammation,inflammation
cramps,cramps
ulcers,ulcers
bleeding,bleeding
irritation,irritation
anxiety,anxiety
depression,depression
insomnia,insomnia
cancer,cancer
diabetes,diabetes
hypertension,hypertension
allergies,allergies
weight loss,weight loss
weight gain,weight gain
hair loss,hair loss
blurred vision,vision changes
ear pain,ear pain
palpitations,palpitations
urinary frequency,urinary frequency
urinary urgency,urinary urgency
numbness,numbness
tingling,tingling
night sweats,night sweats
dry mouth,dry mouth
excessive thirst,excessive thirst
frequent urination,urinary frequency
acne,acne
bruising,bruising
confusion,confusion
memory loss,memory loss
hoarseness,hoarseness
wheezing,wheezing
itchy eyes,itchy eyes
dry eyes,dry eyes
difficulty swallowing,difficulty swallowing
difficulty sleeping,insomnia
restlessness,restlessness
yellow skin,yellow eyes
yellow eyes,yellow eyes
bloating,bloating
gas,gas
hiccups, hiccups
indigestion,indigestion
heartburn,heartburn
mouth sores,mouth sores
nosebleeds,nosebleeds
ear ringing,tinnitus
decreased appetite,loss of appetite
increased appetite,increased appetite
feeling full quickly,feeling full quickly
unusual sweating,unusual sweating
dark urine,dark urine
light-colored stools,light-colored stools
blood in urine,blood in urine
blood in stool,blood in stool
frequent infections,frequent infections
delayed healing,delayed healing
high temperature,fever
high blood pressure,high blood pressure
low blood pressure,low blood pressure
thirst,excessive thirst
dehydration,dehydration
skin burn,skin burn
sweating,sweating
feeling cold,feeling cold
feeling hot,feeling hot
head pressure,head pressure
double vision,double vision
eye pain,eye pain
eye redness,eye redness
eye discharge,eye discharge
ear discharge,ear discharge
hearing loss,hearing loss
ringing in ears,tinnitus
balance problems,balance issues
taste changes,taste changes
smell changes,smell changes
rapid breathing,rapid breathing
slow breathing,slow breathing
breathing difficulty,shortness of breath
